BcProductId,Current Stock,Large Image URL,Medium Image URL,Product Description,Product Name,Product Price,Product URL,Retail Price,Shipping Weight,Thumb Image URL,Brand,Category,Gender,Manufacturer,SKU,Country of Origin,UPC,Type,isNewArrival,Discount Off Retail,Categories
42060,39,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/42060/images/282027/AFN072980__23683.1758600221.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/42060/images/282027/AFN072980__23683.1758600221.386.513.jpg?c=1,"AFNAN 9PM 3 PCS SET FOR MEN: 3.4 EAU DE PARFUM SPRAY + 5 OZ DEODORANT SPRAY + 5 OZ SHOWER GEL
",AFNAN 9PM 3 PCS SET FOR MEN: 3.4 EAU DE PARFUM SPRAY + 5 OZ DEODORANT SPRAY + 5 OZ SHOWER GEL,28.6,https://www.scentsworld.com/afn072980/,95,44.8,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/42060/images/282027/AFN072980__23683.1758600221.220.290.jpg?c=1,AFNAN,Shop All,Men,,AFN072980,UAE,6290171072980,product,false,0.6989473684210525,"Shop All, Mens, Gift Sets, Fragrance"
47871,1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47871/images/282025/AFN072768__57253.1758600202.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47871/images/282025/AFN072768__57253.1758600202.386.513.jpg?c=1,AFNAN SUPREMACY IN OUD 5.07 EXTRAIT DE PARFUM SPRAY,AFNAN SUPREMACY IN OUD 5.07 EXTRAIT DE PARFUM SPRAY,31.35,https://www.scentsworld.com/afn072768/,95,17.76,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47871/images/282025/AFN072768__57253.1758600202.220.290.jpg?c=1,AFNAN,Shop All,Unisex,,AFN072768,UAE,6290171072768,product,false,0.6699999999999999,"Shop All, Unisex, Fragrance"
47869,13,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47869/images/282020/AFN001614__89713.1758600154.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47869/images/282020/AFN001614__89713.1758600154.386.513.jpg?c=1,AFNAN SUPREMACY NOIR 3.4 EAU DE PARFUM SPRAY FOR MEN,AFNAN SUPREMACY NOIR 3.4 EAU DE PARFUM SPRAY FOR MEN,20.9,https://www.scentsworld.com/afn001614/,75,14.08,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47869/images/282020/AFN001614__89713.1758600154.220.290.jpg?c=1,AFNAN,Shop All,Men,,AFN001614,UAE,6290171001614,product,false,0.7213333333333334,"Shop All, Mens, Fragrance"
47865,5,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47865/images/282024/AFN070573__28754.1758600192.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47865/images/282024/AFN070573__28754.1758600192.386.513.jpg?c=1,AFNAN TURATHI 3 OZ EAU DE PARFUM SPRAY FOR WOMEN,AFNAN TURATHI 3 OZ EAU DE PARFUM SPRAY FOR WOMEN,22.55,https://www.scentsworld.com/afn070573/,100,20.32,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47865/images/282024/AFN070573__28754.1758600192.220.290.jpg?c=1,AFNAN,Shop All,Women,,AFN070573,UAE,6290171070573,product,false,0.7745,"Shop All, Womens, Fragrance"
12836,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/12836/images/282067/AP71030__94186.1758600622.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/12836/images/282067/AP71030__94186.1758600622.386.513.jpg?c=1,AGENT PROVOCATEUR 6.7 EAU DE PARFUM SPRAY,AGENT PROVOCATEUR 6.7 EAU DE PARFUM SPRAY,27.5,https://www.scentsworld.com/ap71030/,160,17.6,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/12836/images/282067/AP71030__94186.1758600622.220.290.jpg?c=1,AGENT PROVOCATEUR,Shop All,Women,,AP71030,USA,085715710307,product,false,0.828125,"Shop All, Womens, Best Sellers, Fragrance"
47157,2,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47157/images/282054/AHP1443__13800.1758600495.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47157/images/282054/AHP1443__13800.1758600495.386.513.jpg?c=1,AL HARAMAIN AMBER OUD 7 * 0.34 EAU DE PARFUM SPRAY SET : GOLD EDITION + ULTRA VIOLET + RUBY EDITION + CARBON EDITION + BLEU EDITION + WHITE EDITION + SPRAY CASE,AL HARAMAIN AMBER OUD 7 * 0.34 EAU DE PARFUM SPRAY SET : GOLD EDITION + ULTRA VIOLET + RUBY EDITION + CARBON EDITION + BLEU EDITION + WHITE EDITION + SPRAY CASE,36.3,https://www.scentsworld.com/ahp1443/,60,11.68,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/47157/images/282054/AHP1443__13800.1758600495.220.290.jpg?c=1,AL HARAMAIN,Shop All,UNISEX,,AHP1443,UAE,6291106814088,product,false,0.395,"Shop All, Gift Sets, Travel Spray / Roller Ball, Unisex, Fragrance"
8999,5,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/8999/images/282047/AHP1001__41649.1758600429.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/8999/images/282047/AHP1001__41649.1758600429.386.513.jpg?c=1,AL HARAMAIN AMBER OUD CARBON 6.7 EAU DE PARFUM SPRAY,AL HARAMAIN AMBER OUD CARBON 6.7 EAU DE PARFUM SPRAY,52.25,https://www.scentsworld.com/ahp1001/,120,37.6,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/8999/images/282047/AHP1001__41649.1758600429.220.290.jpg?c=1,AL HARAMAIN,Shop All,Unisex,,AHP1001,UAE,6291106812589,product,false,0.5645833333333333,"Shop All, Unisex, Fragrance"
9023,100,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/9023/images/282048/AHP1013__81055.1758600439.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/9023/images/282048/AHP1013__81055.1758600439.386.513.jpg?c=1,AL HARAMAIN AMBER OUD GOLD EDITION 3.3 EAU DE PARFUM SPRAY,AL HARAMAIN AMBER OUD GOLD EDITION 3.3 EAU DE PARFUM SPRAY,37.4,https://www.scentsworld.com/ahp1013/,140,25.6,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/9023/images/282048/AHP1013__81055.1758600439.220.290.jpg?c=1,AL HARAMAIN,Shop All,Unisex,,AHP1013,UAE,6291100130122,product,false,0.7328571428571429,"Shop All, Unisex, Fragrance"
9205,3,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/9205/images/282050/AHP1185__14631.1758600457.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/9205/images/282050/AHP1185__14631.1758600457.386.513.jpg?c=1,AL HARAMAIN AMBER OUD RUBY EDITION 6.8 EAU DE PARFUM SPRAY,AL HARAMAIN AMBER OUD RUBY EDITION 6.8 EAU DE PARFUM SPRAY,55,https://www.scentsworld.com/ahp1185/,160,37.44,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/9205/images/282050/AHP1185__14631.1758600457.220.290.jpg?c=1,AL HARAMAIN,Shop All,Women,,AHP1185,UAE,6291100131853,product,false,0.65625,"Shop All, Womens, Fragrance"
48151,2,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48151/images/282052/AHP1434__07239.1758600475.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48151/images/282052/AHP1434__07239.1758600475.386.513.jpg?c=1,AL HARAMAIN DETOUR ECO 3.4 EAU DE PARFUM SPRAY,AL HARAMAIN DETOUR ECO 3.4 EAU DE PARFUM SPRAY,18.15,https://www.scentsworld.com/ahp1434/,50,12.32,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48151/images/282052/AHP1434__07239.1758600475.220.290.jpg?c=1,AL HARAMAIN,Shop All,Unisex,,AHP1434,UAE,6291106813814,product,false,0.637,"Shop All, Unisex, Fragrance"
48150,9,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48150/images/282053/AHP1435__48022.1758600485.1280.1280.jpg?c=1,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48150/images/282053/AHP1435__48022.1758600485.386.513.jpg?c=1,AL HARAMAIN DETOUR NOIR INTENSE 3.4 EAU DE PARFUM SPRAY,AL HARAMAIN DETOUR NOIR INTENSE 3.4 EAU DE PARFUM SPRAY,18.7,https://www.scentsworld.com/ahp1435/,50,12.32,https://cdn11.bigcommerce.com/s-5cd76qe6s3/products/48150/images/282053/AHP1435__48022.1758600485.220.290.jpg?c=1,AL HARAMAIN,Shop All,Unisex,,AHP1435,UAE,6291106813838,product,false,0.626,"Shop All, Unisex, Fragrance"
